iteration,distance,file,num_reads,round
real_sabin_2,0.03,mapped.racon1.paf,399,1
real_sabin_2,0.03,mapped.racon2.paf,397,2
real_sabin_2,0.03,mapped.racon3.paf,397,3
real_sabin_2,0.03,mapped.racon4.paf,397,4
real_sabin_2,0.03,mapped.medaka.paf,399,medaka
real_sabin_2,0.03,mapped.medaka.paf,400,medaka_scratch
real_sabin_2,0.04,mapped.paf,377,0
real_sabin_2,0.04,mapped.racon1.paf,396,1
real_sabin_2,0.04,mapped.racon2.paf,395,2
real_sabin_2,0.04,mapped.racon3.paf,395,3
real_sabin_2,0.04,mapped.racon4.paf,395,4
real_sabin_2,0.04,mapped.medaka.paf,399,medaka
real_sabin_2,0.04,mapped.medaka.paf,399,medaka_scratch
real_sabin_2,0.05,mapped.paf,358,0
real_sabin_2,0.05,mapped.racon1.paf,396,1
real_sabin_2,0.05,mapped.racon2.paf,398,2
real_sabin_2,0.05,mapped.racon3.paf,397,3
real_sabin_2,0.05,mapped.racon4.paf,397,4
real_sabin_2,0.05,mapped.medaka.paf,399,medaka
real_sabin_2,0.05,mapped.medaka.paf,400,medaka_scratch
real_sabin_2,0.06,mapped.paf,358,0
real_sabin_2,0.06,mapped.racon1.paf,397,1
real_sabin_2,0.06,mapped.racon2.paf,397,2
real_sabin_2,0.06,mapped.racon3.paf,397,3
real_sabin_2,0.06,mapped.racon4.paf,399,4
real_sabin_2,0.06,mapped.medaka.paf,399,medaka
real_sabin_2,0.06,mapped.medaka.paf,397,medaka_scratch
real_sabin_2,0.07,mapped.paf,354,0
real_sabin_2,0.07,mapped.racon1.paf,394,1
real_sabin_2,0.07,mapped.racon2.paf,394,2
real_sabin_2,0.07,mapped.racon3.paf,393,3
real_sabin_2,0.07,mapped.racon4.paf,393,4
real_sabin_2,0.07,mapped.medaka.paf,399,medaka
real_sabin_2,0.07,mapped.medaka.paf,400,medaka_scratch
real_sabin_2,0.08,mapped.paf,315,0
real_sabin_2,0.08,mapped.racon1.paf,396,1
real_sabin_2,0.08,mapped.racon2.paf,399,2
real_sabin_2,0.08,mapped.racon3.paf,397,3
real_sabin_2,0.08,mapped.racon4.paf,397,4
real_sabin_2,0.08,mapped.medaka.paf,399,medaka
real_sabin_2,0.08,mapped.medaka.paf,399,medaka_scratch
real_sabin_2,0.09,mapped.paf,324,0
real_sabin_2,0.09,mapped.racon1.paf,396,1
real_sabin_2,0.09,mapped.racon2.paf,398,2
real_sabin_2,0.09,mapped.racon3.paf,396,3
real_sabin_2,0.09,mapped.racon4.paf,398,4
real_sabin_2,0.09,mapped.medaka.paf,399,medaka
real_sabin_2,0.09,mapped.medaka.paf,397,medaka_scratch
real_sabin_2,0.1,mapped.paf,285,0
real_sabin_2,0.1,mapped.racon1.paf,393,1
real_sabin_2,0.1,mapped.racon2.paf,391,2
real_sabin_2,0.1,mapped.racon3.paf,394,3
real_sabin_2,0.1,mapped.racon4.paf,393,4
real_sabin_2,0.1,mapped.medaka.paf,397,medaka
real_sabin_2,0.1,mapped.medaka.paf,398,medaka_scratch
real_sabin_2,0.11,mapped.paf,295,0
real_sabin_2,0.11,mapped.racon1.paf,392,1
real_sabin_2,0.11,mapped.racon2.paf,393,2
real_sabin_2,0.11,mapped.racon3.paf,395,3
real_sabin_2,0.11,mapped.racon4.paf,393,4
real_sabin_2,0.11,mapped.medaka.paf,399,medaka
real_sabin_2,0.11,mapped.medaka.paf,400,medaka_scratch
real_sabin_2,0.12,mapped.paf,223,0
real_sabin_2,0.12,mapped.racon1.paf,388,1
real_sabin_2,0.12,mapped.racon2.paf,390,2
real_sabin_2,0.12,mapped.racon3.paf,390,3
real_sabin_2,0.12,mapped.racon4.paf,388,4
real_sabin_2,0.12,mapped.medaka.paf,399,medaka
real_sabin_2,0.12,mapped.medaka.paf,399,medaka_scratch
real_sabin_2,0.13,mapped.paf,207,0
real_sabin_2,0.13,mapped.racon1.paf,394,1
real_sabin_2,0.13,mapped.racon2.paf,393,2
real_sabin_2,0.13,mapped.racon3.paf,392,3
real_sabin_2,0.13,mapped.racon4.paf,393,4
real_sabin_2,0.13,mapped.medaka.paf,400,medaka
real_sabin_2,0.13,mapped.medaka.paf,398,medaka_scratch
real_sabin_2,0.14,mapped.paf,242,0
real_sabin_2,0.14,mapped.racon1.paf,390,1
real_sabin_2,0.14,mapped.racon2.paf,390,2
real_sabin_2,0.14,mapped.racon3.paf,389,3
real_sabin_2,0.14,mapped.racon4.paf,389,4
real_sabin_2,0.14,mapped.medaka.paf,400,medaka
real_sabin_2,0.14,mapped.medaka.paf,398,medaka_scratch
real_sabin_2,0.15,mapped.paf,216,0
real_sabin_2,0.15,mapped.racon1.paf,394,1
real_sabin_2,0.15,mapped.racon2.paf,394,2
real_sabin_2,0.15,mapped.racon3.paf,394,3
real_sabin_2,0.15,mapped.racon4.paf,395,4
real_sabin_2,0.15,mapped.medaka.paf,399,medaka
real_sabin_2,0.15,mapped.medaka.paf,396,medaka_scratch
real_sabin_2,0.16,mapped.paf,208,0
real_sabin_2,0.16,mapped.racon1.paf,393,1
real_sabin_2,0.16,mapped.racon2.paf,392,2
real_sabin_2,0.16,mapped.racon3.paf,394,3
real_sabin_2,0.16,mapped.racon4.paf,393,4
real_sabin_2,0.16,mapped.medaka.paf,398,medaka
real_sabin_2,0.16,mapped.medaka.paf,399,medaka_scratch
real_sabin_2,0.17,mapped.paf,40,0
real_sabin_2,0.17,mapped.racon1.paf,381,1
real_sabin_2,0.17,mapped.racon2.paf,378,2
real_sabin_2,0.17,mapped.racon3.paf,378,3
real_sabin_2,0.17,mapped.racon4.paf,378,4
real_sabin_2,0.17,mapped.medaka.paf,398,medaka
real_sabin_2,0.17,mapped.medaka.paf,397,medaka_scratch
real_sabin_2,0.18,mapped.paf,76,0
real_sabin_2,0.18,mapped.racon1.paf,398,1
real_sabin_2,0.18,mapped.racon2.paf,395,2
real_sabin_2,0.18,mapped.racon3.paf,398,3
real_sabin_2,0.18,mapped.racon4.paf,395,4
real_sabin_2,0.18,mapped.medaka.paf,399,medaka
real_sabin_2,0.18,mapped.medaka.paf,399,medaka_scratch
real_sabin_2,0.19,mapped.paf,57,0
real_sabin_2,0.19,mapped.racon1.paf,376,1
real_sabin_2,0.19,mapped.racon2.paf,377,2
real_sabin_2,0.19,mapped.racon3.paf,375,3
real_sabin_2,0.19,mapped.racon4.paf,377,4
real_sabin_2,0.19,mapped.medaka.paf,399,medaka
real_sabin_2,0.19,mapped.medaka.paf,397,medaka_scratch
real_sabin_2,0.2,mapped.paf,25,0
real_sabin_2,0.2,mapped.racon1.paf,376,1
